"Name","State","Notes","User","Tags","Created","Runtime","Sweep","conv_arch","dropout","lr","method","metric.goal","metric.name","parameters.conv_archs","parameters.dropout.distribution","parameters.dropout.max","parameters.dropout.min","parameters.lr.distribution","parameters.lr.max","parameters.lr.min","parameters.window_sizes","window_size","global_pool","parameters.global_pools","batch_size","conv_channels","dilation_rates","epochs","kernel_sizes","num_workers","use_wandb","best_val_acc","epoch","loss","train_acc","val_acc"
"effortless-sweep-10","finished","-","","","2026-05-15T02:24:16.000Z","187","8b34z4x1","32,64_7,7_1,4","0.13964445357859567","0.0037617748304056976","","","","","","","","","","","","1000","false","","","","","","","","","0.5957759699624531","10","1.1176066824354345","0.5116203330647328","0.5957759699624531"
"dutiful-sweep-6","finished","-","","","2026-05-14T22:34:33.000Z","292","7h9bgx3w","32,64_7,5","0.31081702325770855","0.00013035040325296243","","","","","","","","","","","","500","","","","","","","","","","0.5909887359198999","10","1.082075299065247","0.5513698630136986","0.5909887359198999"
"splendid-sweep-15","finished","-","","","2026-05-15T02:42:45.000Z","196","8b34z4x1","32,64,128_7,5,3","0.25855306781692133","0.0004574467618336335","","","","","","","","","","","","1000","true","","","","","","","","","0.5908322903629537","10","1.011011262027096","0.5624529948965887","0.5908322903629537"
"ancient-sweep-8","finished","-","","","2026-05-14T22:44:26.000Z","288","7h9bgx3w","32,64_7,5","0.1875166228518956","0.0001277465385612634","","","","","","","","","","","","500","","","","","","","","","","0.5890253441802252","10","1.0673189616798875","0.5590451248992748","0.5890253441802252"
"soft-sweep-5","finished","-","","","2026-05-15T13:30:08.000Z","327","9s7owsim","64,128_7,7_1,4","0.3664842200209091","0.0018036643960866504","","","","","","","","","","","","5000","false","","","","","","","","","0.5862015018773467","10","1.229686110787516","0.4388430029546065","0.5862015018773467"
"bumbling-sweep-14","finished","-","","","2026-05-15T02:39:23.000Z","200","8b34z4x1","32,64,128_7,5,3","0.1973638666240192","0.0004158835284440283","","","","","","","","","","","","1000","true","","","","","","","","","0.585325406758448","10","1.0140770773204977","0.562805533172173","0.5841833541927409"
"logical-sweep-7","finished","-","","","2026-05-14T22:39:30.000Z","291","7h9bgx3w","32,64_7,5","0.3259701616552935","0.00014020214355560064","","","","","","","","","","","","500","","","","","","","","","","0.5840894868585732","10","1.093231814707475","0.5438524039752888","0.5836201501877347"
"confused-sweep-5","finished","-","","","2026-05-14T22:29:26.000Z","303","7h9bgx3w","32,64,128_7,5,3","0.26303105717966657","0.00012424302139262043","","","","","","","","","","","","500","","","","","","","","","","0.5679208385481852","10","1.0879095992188987","0.5426688826215418","0.5679208385481852"
"quiet-sweep-1","finished","-","","","2026-05-14T22:03:46.000Z","283","7h9bgx3w","32,64,128_7,5,3","0.3880479352119143","0.00013303169297166877","","","","","","","","","","","","500","","","","","","","","","","0.5661686483103879","10","1.1012110027356268","0.5338990733279613","0.5661138923654568"
"happy-sweep-4","finished","-","","","2026-05-14T22:24:29.000Z","293","7h9bgx3w","32,64,128_7,5,3","0.4061146410055524","0.00012351893166120313","","","","","","","","","","","","500","","","","","","","","","","0.5597152690863579","10","1.1147756519543046","0.5268499865699705","0.5597152690863579"
"zany-sweep-10","finished","-","","","2026-05-15T13:55:47.000Z","237","9s7owsim","32,64,128_7,7,7_1,8,32","0.1990946083232008","0.0014856732738277405","","","","","","","","","","","","10000","false","","","","","","","","","0.5469336670838548","10","1.1500419414142689","0.4631345688960516","0.5469336670838548"
"worthy-sweep-3","finished","-","","","2026-05-15T01:51:03.000Z","325","8b34z4x1","64,128_7,7_1,4","0.34916968622152766","0.001892176617954796","","","","","","","","","","","","1000","true","","","","","","","","","0.5282227784730914","10","1.1224479913071157","0.4957158205748053","0.5162390488110138"
